CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19,15,39
2,Male,21,15,81
3,Female,20,16,6
4,Female,23,16,77
5,Female,31,17,40
6,Female,22,17,76
7,Female,35,18,6
8,Female,23,18,94
9,Male,64,19,3
10,Female,30,19,72
11,Male,67,19,14
12,Female,35,19,99
13,Female,58,20,15
14,Female,24,20,77
15,Male,37,20,13
16,Male,22,20,79
17,Female,35,21,35
18,Male,20,21,66
19,Male,52,23,29
20,Female,35,23,98
21,Male,35,24,35
22,Male,25,24,73
23,Female,46,25,5
24,Male,31,25,73
25,Female,54,28,14
26,Male,29,28,82
27,Female,45,28,32
28,Male,35,28,61
29,Female,40,29,31
30,Female,23,29,87
31,Male,60,30,4
32,Female,21,30,73
33,Male,53,33,4
34,Male,18,33,92
35,Female,49,33,14
36,Female,21,33,81
37,Female,42,34,17
38,Female,30,34,73
39,Female,36,37,26
40,Female,20,37,75
41,Female,65,38,35
42,Male,24,38,92
43,Male,48,39,36
44,Female,31,39,61
45,Female,49,39,28
46,Female,24,39,65
47,Female,50,40,55
48,Female,27,40,47
49,Female,29,40,42
50,Female,31,40,42
51,Female,49,42,52
52,Male,33,42,60
53,Female,31,43,54
54,Male,59,43,60
55,Female,50,43,45
56,Male,47,43,41
57,Female,51,44,50
58,Male,69,44,46
59,Female,27,46,51
60,Male,53,46,46
61,Male,70,46,56
62,Male,19,46,55
63,Female,67,47,52
64,Female,54,47,59
65,Male,63,48,51
66,Male,18,48,59
67,Female,43,48,50
68,Female,68,48,48
69,Male,19,48,59
70,Female,32,48,47
71,Male,70,49,55
72,Female,47,49,42
73,Female,60,50,49
74,Female,60,50,56
75,Male,59,54,47
76,Male,26,54,54
77,Female,45,54,53
78,Male,40,54,48
79,Female,23,54,52
80,Female,49,54,42
81,Male,57,54,51
82,Male,38,54,55
83,Male,67,54,41
84,Female,46,54,44
85,Female,21,54,57
86,Male,48,54,46
87,Female,55,57,58
88,Female,22,57,55
89,Female,34,58,60
90,Female,50,58,46
91,Female,68,59,55
92,Male,18,59,41
93,Male,48,60,49
94,Female,40,60,40
95,Female,32,60,42
96,Male,24,60,52
97,Female,47,60,47
98,Female,27,60,50
99,Male,48,61,42
100,Male,20,61,49
101,Female,23,62,41
102,Female,49,62,48
103,Male,67,62,59
104,Male,26,62,55
105,Male,49,62,56
106,Female,21,62,42
107,Female,66,63,50
108,Male,54,63,46
109,Male,68,63,43
110,Male,66,63,48
111,Male,65,63,52
112,Female,19,63,54
113,Female,38,64,42
114,Male,19,64,46
115,Female,18,65,48
116,Female,19,65,50
117,Female,63,65,43
118,Female,49,65,59
119,Female,51,67,43
120,Female,50,67,57
121,Male,27,67,56
122,Female,38,67,40
123,Female,40,69,58
124,Male,39,69,91
125,Female,23,70,29
126,Female,31,70,77
127,Male,43,71,35
128,Male,40,71,95
129,Male,59,71,11
130,Male,38,71,75
131,Male,47,71,9
132,Male,39,71,75
133,Female,25,72,34
134,Female,31,72,71
135,Male,20,73,5
136,Female,29,73,88
137,Female,44,73,7
138,Male,32,73,73
139,Male,19,74,10
140,Female,35,74,72
141,Female,57,75,5
142,Male,32,75,93
143,Female,28,76,40
144,Female,32,76,87
145,Male,25,77,12
146,Male,28,77,97
147,Male,48,77,36
148,Female,32,77,74
149,Female,34,78,22
150,Male,34,78,90
151,Male,43,78,17
152,Male,39,78,88
153,Female,44,78,20
154,Female,38,78,76
155,Female,47,78,16
156,Female,27,78,89
157,Male,37,78,1
158,Female,30,78,78
159,Male,34,78,1
160,Female,30,78,73
161,Female,56,79,35
162,Female,29,79,83
163,Male,19,81,5
164,Female,31,81,93
165,Male,50,85,26
166,Female,36,85,75
167,Male,42,86,20
168,Female,33,86,95
169,Female,36,87,27
170,Male,32,87,63
171,Male,40,87,13
172,Male,28,87,75
173,Male,36,87,10
174,Male,36,87,92
175,Female,52,88,13
176,Female,30,88,86
177,Male,58,88,15
178,Male,27,88,69
179,Male,59,93,14
180,Male,35,93,90
181,Female,37,97,32
182,Female,32,97,86
183,Male,46,98,15
184,Female,29,98,88
185,Female,41,99,39
186,Male,30,99,97
187,Female,54,101,24
188,Male,28,101,68
189,Female,41,103,17
190,Female,36,103,85
191,Female,34,103,23
192,Female,32,103,69
193,Male,33,113,8
194,Female,38,113,91
195,Female,47,120,16
196,Female,35,126,44.80555556
197,Female,45,126,44.85555556
198,Male,32,,44.90555556
199,Male,32,137,44.95555556
200,Male,30,140.5142857,45.00555556
201,male,100,144.6714286,45.05555556
202,male,80.2,148.8285714,45.10555556
203,male,91,152.9857143,45.15555556
204,male,101.8,157.1428571,45.20555556
205,male,112.6,161.3,45.25555556
206,male,123.4,165.4571429,45.30555556
207,male,134.2,169.6142857,45.35555556
208,male,145,173.7714286,45.40555556
209,male,155.8,177.9285714,45.45555556
210,male,166.6,182.0857143,45.50555556
211,male,177.4,186.2428571,45.55555556
212,male,188.2,190.4,45.60555556
213,male,199,194.5571429,45.65555556
214,male,209.8,198.7142857,45.70555556
215,male,220.6,202.8714286,45.75555556
216,male,231.4,207.0285714,45.80555556
217,male,242.2,211.1857143,45.85555556
218,male,253,215.3428571,45.90555556
219,male,263.8,219.5,45.95555556
220,male,274.6,223.6571429,46.00555556
221,male,285.4,227.8142857,46.05555556
222,male,296.2,231.9714286,46.10555556
223,male,307,236.1285714,46.15555556
224,male,317.8,240.2857143,46.20555556
225,male,328.6,244.4428571,46.25555556
226,male,339.4,248.6,46.30555556
227,male,350.2,252.7571429,46.35555556
228,male,361,256.9142857,46.40555556
229,male,371.8,261.0714286,46.45555556
230,male,382.6,265.2285714,46.50555556
231,male,393.4,269.3857143,46.55555556
232,male,404.2,273.5428571,46.60555556
233,male,415,277.7,46.65555556
234,male,425.8,100,46.70555556
235,male,436.6,100,46.75555556
236,male,447.4,100,46.80555556
237,male,458.2,100,46.85555556
238,male,469,100,46.90555556
239,male,479.8,100,46.95555556
240,male,490.6,100,47.00555556
241,male,501.4,100,47.05555556
242,male,512.2,100,
243,male,523,100,
244,male,533.8,100,
245,male,544.6,100,
246,male,555.4,100,
247,male,566.2,100,
248,male,577,100,
249,male,587.8,100,
,male,598.6,100,
,male,609.4,100,
,male,620.2,100,
,male,631,100,
,male,641.8,100,
,male,652.6,100,
,,663.4,100,
,,674.2,100,
,,685,100,
,,695.8,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
